Word,FrequencyScore,totalReadingTime
ingineria,3.63,1734
importantă,4.99,1172
problemă,5.08,929
o,7.11,496
contracara,3.5,2272
pentru,6.89,433
necesare,4.78,868
a,7.45,64
le,6.31,185
reprezintă,5.38,791
în,7.47,51
electrice,4.66,396
circuitelor,3.26,2194
Cu,7.05,65
toate,6.05,152
acestea,5.61,516
ar,6.32,100
trebui,5.58,232
să,7.14,100
fie,6.13,117
clar,5.15,184
că,6.91,123
diferite,5.42,183
lungimi,3.55,248
de,7.72,189
undă,3.95,184
vor,6.05,124
suferi,4.27,436
primite,4.27,61
a,7.45,61
constructive,3.6,63
,0.0,
Cu,7.05,362
interferențe,3.37,600
constructive,3.6,781
pentru,6.89,219
diferite,5.42,598
unghiuri,3.69,987
incidență,3.33,782
de,7.72,116
a,7.45,65
luminii,4.38,268
primite,4.27,417
,0.0,
Au,6.75,192
fost,6.72,318
produse,5.09,435
drame,3.54,311
comedii,3.43,247
și,7.46,188
toate,6.05,250
celelalte,4.99,340
forme,4.85,267
de,7.72,63
divertisment,4.12,540
precum,5.8,850
emisiuni,4.31,557
știri,4.54,122
muzică,5.06,433
,0.0,
Poșta,3.85,308
este,6.93,309
generată,3.77,347
intern,4.48,569
de,7.72,188
către,6.0,231
sistemul,5.26,434
Postfix,0.0,435
însuși,4.85,185
pentru,6.89,371
a,7.45,62
notifica,0.0,369
poștașul,0.0,677
fără,5.95,50
asemenea,5.79,424
problemă,5.08,791
o,7.11,52
despre,6.22,615
această,5.93,310
cale,5.09,246
este,6.93,188
indicată,3.67,308
cu,7.05,124
săgeata,3.69,889
etichetă,3.6,698
,0.0,
Tampoanele,0.0,924
sensibile,3.77,1568
ale,6.25,123
degetelor,3.65,1341
noastre,5.49,869
folosite,5.0,216
ca,6.69,116
antene,3.48,955
tactile,0.0,853
detectează,3.46,738
cea,5.96,431
încordare,0.0,668
tresărire,0.0,678
mică,5.26,248
mai,6.99,614
sau,6.41,166
ezitare,3.49,433
de,7.72,165
răspuns,4.98,268
,0.0,
Diagnosticul,3.87,934
de,7.72,167
schizofrenie,3.31,534
nu,7.01,116
ar,6.32,50
trebui,5.58,430
pus,5.4,247
în,7.47,128
prezența,4.94,553
unor,5.72,246
simptome,4.22,563
depresive,3.22,633
că,6.91,101
care,6.9,132
excepția,4.79,552
extinse,3.97,682
maniacale,0.0,903
sau,6.41,450
cu,7.05,125
cazului,4.11,311
este,6.93,266
clar,5.15,116
simptomele,4.06,800
afective,3.38,555
tulburărilor,3.67,798
anterioare,4.55,1690
sunt,6.6,737
schizofrenice,0.0,1090
,0.0,
Există,5.67,593
o,7.11,62
ușoară,4.59,437
tendință,3.99,491
de,7.72,240
atac,4.92,279
din,7.13,764
partea,5.71,266
opusă,3.79,401
a,7.45,65
halogenului,0.0,993
Cu,7.05,51
toate,6.05,878
acestea,5.61,493
faptul,5.36,283
că,6.91,163
scorbutul,0.0,988
este,6.93,249
cauzat,4.2,496
de,7.72,188
lipsa,4.78,334
vitaminei,3.19,783
c,5.51,150
a,7.45,50
fost,6.72,382
descoperit,5.03,1368
abia,5.14,250
în,7.47,62
1932,4.16,531
,0.0,
Același,5.52,635
principiu,4.34,804
se,6.77,125
aplica,3.95,437
desigur,4.97,583
și,7.46,132
la,7.21,101
reflexul,0.0,1465
cu,7.05,63
un,6.99,61
singur,5.28,867
obiectiv,4.51,495
dar,6.46,192
primele,5.29,590
neplăceri,3.26,750
întârzieri,3.35,682
provocat,4.48,1535
au,6.75,102
SLRuri,0.0,798
din,7.13,283
cauza,5.47,359
necesității,3.53,743
de,7.72,190
a,7.45,187
muta,4.12,308
oglinda,4.04,381
în,7.47,251
permite,5.02,882
afara,5.12,547
planului,4.36,1070
focal,0.0,61
pentru,6.89,618
luminii,4.38,385
să,7.14,166
ajungă,4.81,282
placa,4.22,201
spatele,5.02,666
,0.0,
După,6.35,949
ce,6.72,166
Ron,4.27,401
aproape,5.68,568
că,6.91,66
moare,4.61,374
bând,3.01,245
hidromel,0.0,680
otrăvit,3.57,431
care,6.9,251
se,6.77,167
pare,5.52,616
era,6.22,168
destinat,4.37,645
încât,5.13,603
atât,5.86,114
Hermione,3.41,920
profesorului,4.2,866
Dumbledore,3.24,727
este,6.93,333
de,7.72,232
tulburată,3.27,500
pun,4.99,927
dușmăniei,0.0,865
lor,5.88,62
pentru,6.89,310
totdeauna,4.61,621
,0.0,
Deși,5.55,806
evreii,4.25,62
au,6.75,218
fost,6.72,216
țintele,3.49,300
preferate,3.85,1186
și,7.46,402
sunt,6.6,184
victimele,4.25,991
despre,6.22,298
care,6.9,215
auzim,4.04,350
cel,6.17,167
mai,6.99,285
des,4.97,283
vorbim,4.95,542
când,6.27,242
atunci,5.99,836
Holocaust,3.55,681
ei,6.12,117
nu,7.01,166
singurele,4.17,449
victime,4.49,434
,0.0,
Principalul,4.55,1039
motiv,5.16,434
pentru,6.89,334
care,6.9,265
nu,7.01,52
se,6.77,165
permit,4.39,1341
mai,6.99,382
multe,5.93,660
ieșiri,3.52,335
cu,7.05,215
aceeași,5.24,400
intrare,4.6,450
este,6.93,610
aceluiași,4.25,671
la,7.21,113
aplicăm,3.17,524
permite,5.02,560
ne,6.33,247
acela,5.06,431
că,6.91,63
să,7.14,124
funcție,5.32,365
diferite,5.42,435
forme,4.85,332
ale,6.25,167
lucru,5.82,372
echivalența,0.0,1281
schimba,4.86,434
fără,5.95,370
acestora,5.11,700
,0.0,
De,7.72,787
asemenea,5.79,417
coeficientul,3.5,1317
de,7.72,463
frecare,3.38,670
variază,4.19,431
foarte,6.14,745
mult,6.2,252
în,7.47,187
funcție,5.32,400
cele,6.14,51
două,6.0,185
netezimea,0.0,622
contact,4.72,848
aflate,4.93,494
substanțe,4.55,1057
precum,5.8,466
și,7.46,123
temperatura,4.64,1061
celor,5.54,494
substanțe,4.55,815
,0.0,
În,7.47,166
chimia,3.51,351
organică,3.9,1114
carbonul,0.0,557
este,6.93,373
utilizat,4.78,434
foarte,6.14,557
frecvent,4.55,768
astfel,5.83,466
încât,5.13,400
chimiștii,0.0,665
știu,5.49,434
că,6.91,124
capetele,3.97,410
carbon,4.28,706
de,7.72,230
atom,3.57,1209
există,5.67,243
un,6.99,101
la,7.21,182
fiecărei,4.3,308
linii,4.54,372
care,6.9,245
nu,7.01,187
etichetată,3.01,618
în,7.47,122
mod,5.57,744
specific,4.57,1243
,0.0,
Cu,7.05,117
toate,6.05,868
acestea,5.61,434
dacă,6.35,248
programul,4.82,617
este,6.93,868
un,6.99,189
fel,5.75,167
de,7.72,290
editor,4.13,817
care,6.9,216
rulează,3.9,350
pe,7.06,291
desktop,3.79,1243
din,7.13,251
să,7.14,185
posibil,5.22,495
doriți,4.81,1400
oferiți,3.61,931
operatorului,3.48,988
opțiunea,3.86,547
a,7.45,65
salva,4.46,252
informațiile,4.49,384
introduse,4.23,817
program,4.84,822
iasă,4.59,349
loc,5.87,237
trudă,0.0,500
cu,7.05,370
în,7.47,124
,0.0,
Un,6.99,1248
alfabet,3.42,981
ingenios,3.46,634
lea,5.23,471
permis,4.83,680
mayașilor,0.0,683
să,7.14,185
înregistreze,3.84,747
informații,5.14,734
pe,7.06,117
monumentele,3.65,1177
multe,5.93,645
de,7.72,179
modalitate,4.5,808
antropologilor,0.0,1874
oferindule,0.0,951
templele,3.29,616
și,7.46,184
lor,5.88,186
o,7.11,62
excelentă,4.3,993
a,7.45,132
afla,5.16,217
mai,6.99,166
mayașă,0.0,298
cultura,4.83,603
viața,5.69,527
despre,6.22,444
În,7.47,50
general,5.54,1020
se,6.77,116
crede,4.97,61
pilusul,0.0,1522
este,6.93,102
asamblat,3.22,550
de,7.72,215
la,7.21,166
baza,5.43,268
sa,6.39,217
deoarece,5.45,432
în,7.47,62
membrana,3.41,991
găsește,4.92,508
celulară,3.67,840
o,7.11,117
rezervă,4.55,317
pilină,0.0,434
,0.0,
Când,6.27,616
ajung,4.91,400
la,7.21,615
destinație,4.21,766
cu,7.05,217
terasa,3.69,566
umbrită,3.08,847
încă,5.73,434
vedere,5.57,993
desfășor,0.0,494
prosoapele,3.18,871
și,7.46,312
mă,5.98,123
înclinat,3.69,1050
întind,3.82,558
confortabil,4.38,868
pe,7.06,125
scaunul,4.38,492
,0.0,
Deoarece,5.45,497
majoritatea,5.22,743
manualelor,0.0,1055
sunt,6.6,369
elaborate,4.01,806
de,7.72,151
către,6.0,369
sau,6.41,744
pe,7.06,552
baza,5.43,173
contribuțiilor,3.27,1168
respectată,3.52,858
este,6.93,347
această,5.93,653
domeniu,4.72,782
experților,3.36,1015
în,7.47,184
cerință,3.42,551
obicei,5.09,1026
bine,6.02,61
sferică,0.0,63
,0.0,
Mărimea,4.29,1421
razei,3.22,557
de,7.72,185
aggro,0.0,765
variază,4.19,533
uneori,5.17,367
în,7.47,125
funcție,5.32,381
facțiune,0.0,668
și,7.46,432
con,4.06,558
poate,6.31,1240
sferică,0.0,683
anumite,5.01,619
medii,4.54,684
,0.0,
Deși,5.55,683
Harry,4.71,342
va,6.5,186
deveni,4.89,309
excepție,4.31,682
există,5.67,311
un,6.99,186
alt,5.3,186
elev,4.24,465
asemenea,5.79,845
de,7.72,215
orfan,3.68,368
și,7.46,51
vrăjitor,3.57,535
atenție,5.01,554
acordat,4.88,1201
talentat,3.76,677
căruia,4.85,497
Dumbledore,3.24,797
ia,5.37,101
el,6.13,49
o,7.11,227
sporită,3.77,492
deși,5.55,577
nu,7.01,186
același,5.52,595
mod,5.57,167
Harry,4.71,675
cazul,5.39,282
în,7.47,399
ca,6.69,217
lui,6.47,152
,0.0,
Ea,5.81,935
aranjează,3.36,635
împrumutul,3.47,1098
unui,5.99,317
reparator,0.0,1507
de,7.72,61
la,7.21,1002
un,6.99,247
concurent,3.77,1218
dar,6.46,50
între,5.94,573
timp,6.1,315
lanterne,0.0,418
oameni,5.74,495
mare,6.17,309
număr,5.26,556
organizează,4.41,1425
cu,7.05,63
întrun,0.0,550
sistem,5.25,449
manual,4.43,1002
semnalizare,3.65,1428
,0.0,
Există,5.67,512
de,7.72,734
asemenea,5.79,718
diferite,5.42,504
stiluri,4.0,333
editare,3.86,473
în,7.47,64
sensul,4.76,861
cât,5.98,351
îndrăzneți,0.0,634
sunt,6.6,115
dispuși,3.84,851
să,7.14,488
fie,6.13,122
oamenii,5.58,370
,0.0,
Fusese,4.77,808
surprinsă,3.91,618
de,7.72,496
faptul,5.36,287
că,6.91,104
Taggart,0.0,645
trecuse,3.49,372
întro,0.0,229
zi,5.83,171
din,7.13,183
senin,4.09,285
prin,6.29,123
camera,5.08,499
ei,6.12,188
mahala,3.4,843
,0.0,
Pentru,6.89,372
a,7.45,248
familiariza,0.0,684
cu,7.05,371
demonstrația,3.42,850
matematică,4.51,748
și,7.46,124
de,7.72,368
asemenea,5.79,368
unele,5.49,457
Demonstrație,3.86,1675
concepte,4.13,784
matematice,3.75,929
bază,5.21,554
cititorii,3.78,993
pot,6.07,311
citi,4.51,312
wikibook,0.0,1090
matematică,4.51,936
,0.0,
Senzorul,3.22,818
Hall,4.05,306
și,7.46,63
inductorul,0.0,869
utilizează,4.58,1476
o,7.11,168
proprietate,4.55,1410
a,7.45,565
câmpului,3.91,554
magnetic,3.78,492
pentru,6.89,368
detecta,3.63,766
curentul,4.21,483
printrun,0.0,726
conductor,3.15,617
din,7.13,123
apropiere,4.66,432
,0.0,
Acestea,5.61,933
sunt,6.6,125
în,7.47,186
principal,5.11,430
linii,4.54,832
directoare,3.69,883
privind,5.27,610
comportamentul,4.41,1048
administratorilor,0.0,1542
atunci,5.99,724
utile,4.02,461
pot,6.07,484
dar,6.46,467
fi,6.59,50
când,6.27,1070
aveți,5.25,438
un,6.99,63
litigiu,3.35,426
serios,4.72,368
cu,7.05,100
administratorii,3.19,766
sau,6.41,216
vă,6.06,995
comisii,3.93,655
și,7.46,179
comisarilor,0.0,1125
adresați,3.07,653
unei,5.96,217
de,7.72,125
arbitraj,3.73,494
,0.0,
Nu,7.01,309
uitați,4.44,50
că,6.91,64
textul,4.66,351
,0.0,
Nu,7.01,249
uitați,4.44,100
că,6.91,183
textul,4.66,284
va,6.5,246
curge,4.19,282
și,7.46,167
se,6.77,280
înfășura,0.0,372
diferit,4.7,434
pentru,6.89,370
alți,5.06,126
utilizatori,4.14,680
în,7.47,125
funcție,5.32,430
de,7.72,122
implicită,3.33,432
dimensiunea,4.37,984
rezoluția,3.97,1962
browserul,3.13,972
ales,5.59,334
ecranului,3.54,554
a,7.45,61
fontului,0.0,553
opțiunile,3.73,677
cum,6.28,461
bare,3.83,460
numărul,5.44,734
accesibilitate,3.31,679
instrumente,4.62,740
laterale,4.14,452
ar,6.32,114
fi,6.59,67
panourile,3.42,932
altele,5.08,347
instantanee,3.54,1506
mesagerie,3.28,717
,0.0,
Pe,7.06,166
partea,5.71,484
germană,4.64,1009
însă,5.64,181
sa,6.39,124
format,5.06,558
un,6.99,185
decalaj,3.17,495
între,5.94,246
cele,6.14,286
mai,6.99,216
vestice,3.65,350
corpuri,4.03,616
de,7.72,867
armată,4.75,741
iar,6.2,124
înaintarea,3.71,495
rapidă,4.56,432
a,7.45,125
epuizat,3.86,556
trupele,4.41,367
,0.0,
Un,6.99,102
lucru,5.82,982
important,5.37,767
de,7.72,258
menționat,4.85,743
este,6.93,433
faptul,5.36,247
că,6.91,61
caracterele,3.5,755
pentru,6.89,283
cifre,4.22,217
sunt,6.6,667
corespunzător,4.26,870
reprezentate,4.09,922
diferit,4.7,371
numărul,5.44,492
lor,5.88,185
vecine,3.99,345
,0.0,
Conexiunile,3.4,1616
intercelulare,0.0,855
permit,4.39,502
heterocitelor,0.0,1318
să,7.14,124
transporte,3.52,556
azotul,0.0,675
fixat,3.95,348
către,6.0,383
celulele,4.27,1332
vecine,3.99,739
și,7.46,123
primească,4.24,371
carbohidrați,3.11,680
,0.0,
Puteți,5.42,1151
extrage,3.73,464
un,6.99,151
singur,5.28,482
document,4.64,432
dintro,0.0,187
astfel,5.83,372
de,7.72,63
colecție,4.49,494
și,7.46,372
îl,5.88,61
puteți,5.42,565
distribui,3.39,550
copie,4.38,398
condiția,4.37,634
să,7.14,189
extras,4.21,177
documentul,4.1,718
licențe,3.56,785
individual,4.56,673
în,7.47,63
temeiul,3.64,621
prezentei,0.0,497
licențe,3.56,218
cu,7.05,116
inserați,0.0,284
o,7.11,115
a,7.45,50
licență,4.39,428
respectați,3.61,367
prezenta,4.46,309
toate,6.05,185
celelalte,4.99,431
documentului,3.55,498
copierea,3.25,369
privește,5.09,432
ce,6.72,124
ceea,5.91,247
privințe,3.39,499
textuală,0.0,281
respectiv,5.18,781
O,7.11,65
altă,5.43,400
carte,5.08,1083
separată,4.02,373
tratează,4.14,744
foile,3.19,492
de,7.72,249
stil,4.99,308
în,7.47,125
cascadă,3.61,558
CSS,3.66,464
care,6.9,267
se,6.77,50
ocupă,4.82,184
aspectul,4.49,798
CSS,3.66,237
abordează,3.84,652
față,5.6,419
cartea,5.19,720
general,5.54,868
și,7.46,123
stilizare,0.0,1215
dar,6.46,165
pe,7.06,125
scurt,5.18,310
,0.0,
Budismul,0.0,993
și,7.46,232
jainismul,0.0,1000
au,6.75,184
multe,5.93,499
teme,4.64,308
practici,4.06,668
comune,4.82,334
inclusiv,5.33,282
accentul,4.2,635
pus,5.4,315
pe,7.06,131
renunțarea,3.8,895
la,7.21,116
ajunge,5.33,188
credința,4.47,1209
nonviolență,0.0,1427
că,6.91,231
se,6.77,1259
eliberare,4.24,1390
prin,6.29,218
legăturile,4.12,839
lumești,3.06,431
merite,4.0,435
acumularea,3.82,617
karma,3.42,617
procesul,5.0,524
iluzie,3.84,528
leagă,4.43,273
care,6.9,434
indivizi,4.27,717
de,7.72,62
bune,5.48,849
rele,4.56,218
În,7.47,51
fiecare,5.78,423
an,5.67,124
numărul,5.44,432
de,7.72,371
membri,4.94,495
ai,6.17,187
acestui,5.24,432
club,4.83,333
crește,4.77,384
iar,6.2,100
nevoia,4.29,382
lideri,4.26,217
numele,5.77,308
sub,5.85,371
și,7.46,417
cunoscuți,4.3,372
grupuri,4.7,683
mici,5.35,124
Facilitatori,0.0,2163
nucleu,3.69,433
în,7.47,247
cămine,3.41,247
crește,4.77,396
,0.0,
În,7.47,233
prezent,5.4,507
un,6.99,187
loc,5.87,183
este,6.93,183
egal,4.44,186
cu,7.05,185
aproximativ,5.32,985
600,3.26,399
0,5.19,267
de,7.72,167
alegători,3.58,501
